endTime,artistName,trackName,msPlayed,track_uri
2020-12-21 12:46,Rixton,Hotel Ceiling,859,spotify:track:2s5B2qJSK8kbFyFRiRq06b
2020-12-21 12:46,DNCE,Truthfully,812,spotify:track:2lBqyCeue1bCd6HCZtKXHu
2020-12-21 12:46,DNCE,Truthfully,766,spotify:track:2lBqyCeue1bCd6HCZtKXHu
2020-12-21 12:46,Beyoncé,Can You Feel the Love Tonight,789,spotify:track:1zSKtBze2IReYU44W0lDzd
2020-12-21 12:46,Parachute,Forever And Always,882,spotify:track:3NCg46FWgnANZc9HQHQOQR
2020-12-21 12:49,Set It Off,Wolf in Sheep's Clothing,187880,spotify:track:4WXFDVe299Po8ih6Np54n2
2020-12-21 12:52,Shawn Mendes,Imagination,217773,spotify:track:21TcDbGosp7w9YhTjOszgA
2020-12-21 12:54,The Wanted,Could This Be Love,777,spotify:track:5OHwyr1icA3MYqRMiSKAMu
2020-12-21 12:54,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",90578,
2020-12-21 12:58,The Vamps,Million Words,222479,spotify:track:2ZW2EGOOGV2voXGLkNU42Z
2020-12-21 13:02,League of Legends,Legends Never Die,824,spotify:track:1FpVJ7HpZInE2GvhVE2TwT
2020-12-21 13:02,Kristen Bell,Some Things Never Change,905,spotify:track:4Xbotg4PCLJw9cDx2dtZLK
2020-12-21 13:02,Kurt Hugo Schneider,Just A Dream,905,spotify:track:0QfmQhr5npxuWQ4zzUDUhB
2020-12-21 13:02,Rachel Platten,Fight Song,1578,spotify:track:37f4ITSlgPX81ad2EvmVQr
2020-12-21 13:02,Iván Torrent,Remember Me (feat. Roger Berruezo),18480,spotify:track:46UjKVKpPK4HyxkIEqQjFG
2020-12-21 13:02,James TW,You & Me,824,spotify:track:1bQhZOoXYqjXs7u7rFXo0h
2020-12-21 13:02,MKTO,Monaco,928,spotify:track:3GQnWBLRh9GiaP34RlbTbK
2020-12-21 13:02,Liam Payne,Strip That Down (feat. Quavo),257454,spotify:track:29JrmE89KgRyCxBIzq2Ocw
2020-12-21 13:02,Thomas Bergersen,Empire of Angels,847,spotify:track:3AnYGQ8PB3lYrA6ToVUXa3
2020-12-21 13:02,Little Mix,Secret Love Song (feat. Jason Derulo),893,spotify:track:6KHL1En9v6iNWjcs44mcmU
2020-12-21 13:06,5 Seconds of Summer,Lie To Me,2312,spotify:track:3567eNX2L3RkkMkwspncMH
2020-12-21 13:06,Two Steps from Hell,Victory,3459,spotify:track:2F9xBxKbx2M0pbgtSu8fLf
2020-12-21 13:06,Demi Lovato,Give Your Heart a Break,1010,spotify:track:3sP3c86WFjOzHHnbhhZcLA
2020-12-21 13:06,Lady Gaga,Shallow,215733,spotify:track:2VxeLyX666F8uXCJ0dZF8B
2020-12-21 13:06,Zac Efron,Rewrite The Stars,731,spotify:track:65fpYBrI8o2cfrwf2US4gq
2020-12-21 13:06,The Vamps,Somebody To You,696,spotify:track:2BWWsCwuHAZFE1scLyP6Qe
2020-12-21 13:06,Little Mix,Love Me or Leave Me,708,spotify:track:1n73Qe6oEprLsUNHXET2pb
2020-12-21 13:10,G.R.L.,Ugly Heart,199580,spotify:track:3qqho4PnTn3zlMPBzWhFFD
2020-12-21 13:13,Parachute,Without You,180738,spotify:track:6R6ux6KaKrhAg2EIB2krdU
2020-12-21 13:16,Why Don't We,8 Letters,190026,spotify:track:4zRZAmBQP8vhNPf9i9opXt
2020-12-21 13:19,The Script,Superheroes,626,spotify:track:37sINbJZcFdHFAsVNsPq1i
2020-12-21 13:19,Anne-Marie,2002,186986,spotify:track:2BgEsaKNfHUdlh97KmvFyo
2020-12-21 13:19,Little Mix,"Secret Love Song, Pt. II",2840,spotify:track:0NyRSfiU6ri61vku1xiLoD
2020-12-21 13:19,Olly Murs,Up (feat. Demi Lovato),766,spotify:track:3ohayDoIdezG6w3j7w5AH9
2020-12-21 13:23,Rachel Platten,Stand By You,0,spotify:track:3kSXn1osC89W8JcPLozTzs
2020-12-21 13:23,Neon Trees,Songs I Can't Listen To,1068,spotify:track:1WMBlpjhd3AUQiNfJOzfIl
2020-12-21 13:23,Andy Black,We Don't Have To Dance,1706,spotify:track:13b32GfUIo3BV93C8KtEdj
2020-12-21 13:23,Shawn Mendes,Imagination,743,spotify:track:21TcDbGosp7w9YhTjOszgA
2020-12-21 13:23,Two Steps from Hell,Star Sky,998,spotify:track:06AMpcajziFnEKniV25fiU
2020-12-21 13:23,The Script,Wonders,963,spotify:track:5jJXjQcZUdL7sj3hCW4LrJ
2020-12-21 13:23,Sheppard,Coming Home,218385,spotify:track:2MKXUXZIViCGpoFyysFpoj
2020-12-21 13:23,The Wanted,Could This Be Love,777,spotify:track:5OHwyr1icA3MYqRMiSKAMu
2020-12-21 13:23,Kristen Bell,Some Things Never Change,743,spotify:track:4Xbotg4PCLJw9cDx2dtZLK
2020-12-21 13:23,Five For Fighting,Heaven Knows,998,spotify:track:0qJGlogD7AyMLAJfQ42aI2
2020-12-21 13:23,Two Steps from Hell,Flight Of The Silverbird,3759,spotify:track:2k2Pwkt3Fqowcve91PiH4g
2020-12-21 13:23,MKTO,Just Imagine It,731,spotify:track:0mtmrbRFsectINNpHdDkUQ
2020-12-21 13:23,Rachel Platten,Fight Song,684,spotify:track:37f4ITSlgPX81ad2EvmVQr
2020-12-21 13:23,Iván Torrent,Remember Me (feat. Roger Berruezo),928,spotify:track:46UjKVKpPK4HyxkIEqQjFG
2020-12-21 13:23,Little Mix,Woman Like Me (feat. Nicki Minaj),1265,spotify:track:222B3aljXx6fFwKmFjuBED
2020-12-21 13:23,Niall Horan,Too Much To Ask,870,spotify:track:39jXnbACjiaiTwwhsr5sY5
2020-12-21 13:23,MKTO,Monaco,650,spotify:track:3GQnWBLRh9GiaP34RlbTbK
2020-12-21 13:23,Set It Off,Wolf in Sheep's Clothing,789,spotify:track:4WXFDVe299Po8ih6Np54n2
2020-12-21 13:23,Rixton,Hotel Ceiling,650,spotify:track:2s5B2qJSK8kbFyFRiRq06b
